ScenarioGroup,PVPenetrationPercent,IrradianceCondition,ControlStrategy,TimeIndex,Time_h,Bus,LocalVoltage_pu,Pavailable_kW,Poutput_kW,Pcurtailed_kW,Qoutput_kVAr,Qlimit_kVAr,VoltVARActive,VoltWattActive,BothActive
stress,100,stress_clear_sky,hybrid,12,11,32,1.03628160959321,681.083333333333,604.004912299714,77.0784210336189,-180.17051017037,443.245100729373,1,1,1
stress,100,stress_clear_sky,hybrid,12,11,33,1.0368277672627,743,651.591796223229,91.4082037767706,-207.275225083828,493.363376320725,1,1,1
stress,100,stress_clear_sky,hybrid,13,12,31,1.03528774985378,619.166666666666,560.163967315363,59.0026993513032,-147.864188059342,387.415586503637,1,1,1
stress,100,stress_clear_sky,hybrid,13,12,32,1.03636507536763,681.083333333333,602.981666480553,78.1016668527802,-181.658670391904,444.636102100485,1,1,1
stress,100,stress_clear_sky,hybrid,13,12,33,1.03690534660208,743,650.552714615587,92.4472853844127,-208.805670304988,494.732711174721,1,1,1
stress,100,stress_clear_sky,hybrid,14,13,31,1.03528774985378,619.166666666666,560.163967315363,59.0026993513032,-147.864188059342,387.415586503637,1,1,1
stress,100,stress_clear_sky,hybrid,14,13,32,1.03636507536763,681.083333333333,602.981666480553,78.1016668527802,-181.658670391904,444.636102100485,1,1,1
stress,100,stress_clear_sky,hybrid,14,13,33,1.03690534660208,743,650.552714615587,92.4472853844127,-208.805670304988,494.732711174721,1,1,1
stress,100,stress_clear_sky,hybrid,15,14,31,1.03519753807976,619.166666666666,561.167549669868,57.9991169967986,-146.436752019845,385.960474844201,1,1,1
stress,100,stress_clear_sky,hybrid,15,14,32,1.03628160959321,681.083333333333,604.004912299714,77.0784210336189,-180.17051017037,443.245100729373,1,1,1
stress,100,stress_clear_sky,hybrid,15,14,33,1.0368277672627,743,651.591796223229,91.4082037767706,-207.275225083828,493.363376320725,1,1,1
stress,100,stress_clear_sky,hybrid_pso,9,8,33,1.01007383988318,346.621756355924,345.800073807474,0.821682548449816,0,740.541422848679,0,1,0
stress,100,stress_clear_sky,hybrid_pso,10,9,30,1.01062501481996,422.903296153548,414.08546991311,8.81782624043807,-0.353253092157598,540.74738145578,0,1,0
stress,100,stress_clear_sky,hybrid_pso,10,9,31,1.01416664412117,422.903296153548,364.320473437161,58.5828227163871,-55.5315168811943,575.452082782717,1,1,1
stress,100,stress_clear_sky,hybrid_pso,10,9,32,1.01484162364902,465.193625768903,390.295267223312,74.898358545591,-86.287864700427,639.498051432419,1,1,1
stress,100,stress_clear_sky,hybrid_pso,10,9,33,1.01522733118633,507.483955384258,419.251926995089,88.2320283891691,-110.078104976108,701.574737081449,1,1,1
stress,100,stress_clear_sky,hybrid_pso,11,10,18,1.01092404371836,495.333333333333,480.405457295254,14.9278760380797,-0.359782138201552,257.080300772702,0,1,0
stress,100,stress_clear_sky,hybrid_pso,11,10,30,1.01494386110336,619.166666666666,517.168076053776,101.998590612891,-62.6106353800369,443.183582790789,1,1,1
stress,100,stress_clear_sky,hybrid_pso,11,10,31,1.01812660851731,619.166666666666,451.574469199161,167.592197467505,-164.416995329135,509.857828920906,1,1,1
stress,100,stress_clear_sky,hybrid_pso,11,10,32,1.01865894417716,681.083333333333,484.646647133641,196.436686199693,-201.601231225596,571.319333494761,1,1,1
stress,100,stress_clear_sky,hybrid_pso,11,10,33,1.01887450007322,743,523.361143299767,219.638856700233,-229.251408779649,627.751864739533,1,1,1
stress,100,stress_clear_sky,hybrid_pso,12,11,18,1.0111408304338,495.333333333333,476.844240314315,18.4890930190188,-0.379510474608564,263.627113407382,0,1,0
stress,100,stress_clear_sky,hybrid_pso,12,11,30,1.01503847274242,619.166666666666,515.219134343821,103.947532322846,-65.3426966917441,445.447809008472,1,1,1
stress,100,stress_clear_sky,hybrid_pso,12,11,31,1.01818851131545,619.166666666666,450.300762439005,168.865904227661,-166.59030806521,510.983101766873,1,1,1
stress,100,stress_clear_sky,hybrid_pso,12,11,32,1.01871298554901,681.083333333333,483.424434942875,197.658898390458,-203.736665958844,572.353884500612,1,1,1
stress,100,stress_clear_sky,hybrid_pso,12,11,33,1.01892134820316,743,522.206503673071,220.793496326929,-231.288236279476,628.712698711857,1,1,1
stress,100,stress_clear_sky,hybrid_pso,13,12,18,1.01128077159881,495.333333333333,474.54539882701,20.7879345063235,-0.392298332493072,267.7430650765,0,1,0
stress,100,stress_clear_sky,hybrid_pso,13,12,30,1.01509948191248,619.166666666666,513.962305752423,105.204360914244,-67.1155233483977,446.897365409663,1,1,1
stress,100,stress_clear_sky,hybrid_pso,13,12,31,1.0182284209743,619.166666666666,449.479778776697,169.686887889969,-167.994672185627,511.705418590908,1,1,1
stress,100,stress_clear_sky,hybrid_pso,13,12,32,1.01874782475986,681.083333333333,482.63668563087,198.446647702463,-205.115873056429,573.01830955566,1,1,1
stress,100,stress_clear_sky,hybrid_pso,13,12,33,1.01895154676164,743,521.462409996825,221.537590003175,-232.603240793985,629.329996869928,1,1,1
stress,100,stress_clear_sky,hybrid_pso,14,13,18,1.01128077159881,495.333333333333,474.54539882701,20.7879345063235,-0.392298332493072,267.7430650765,0,1,0
stress,100,stress_clear_sky,hybrid_pso,14,13,30,1.01509948191248,619.166666666666,513.962305752423,105.204360914244,-67.1155233483977,446.897365409663,1,1,1
stress,100,stress_clear_sky,hybrid_pso,14,13,31,1.0182284209743,619.166666666666,449.479778776697,169.686887889969,-167.994672185627,511.705418590908,1,1,1
stress,100,stress_clear_sky,hybrid_pso,14,13,32,1.01874782475986,681.083333333333,482.63668563087,198.446647702463,-205.115873056429,573.01830955566,1,1,1
stress,100,stress_clear_sky,hybrid_pso,14,13,33,1.01895154676164,743,521.462409996825,221.537590003175,-232.603240793985,629.329996869928,1,1,1
stress,100,stress_clear_sky,hybrid_pso,15,14,18,1.0111408304338,495.333333333333,476.844240314315,18.4890930190188,-0.379510474608564,263.627113407382,0,1,0
stress,100,stress_clear_sky,hybrid_pso,15,14,30,1.01503847274242,619.166666666666,515.219134343821,103.947532322846,-65.3426966917441,445.447809008472,1,1,1
stress,100,stress_clear_sky,hybrid_pso,15,14,31,1.01818851131545,619.166666666666,450.300762439005,168.865904227661,-166.59030806521,510.983101766873,1,1,1
stress,100,stress_clear_sky,hybrid_pso,15,14,32,1.01871298554901,681.083333333333,483.424434942875,197.658898390458,-203.736665958844,572.353884500612,1,1,1
stress,100,stress_clear_sky,hybrid_pso,15,14,33,1.01892134820316,743,522.206503673071,220.793496326929,-231.288236279476,628.712698711857,1,1,1
stress,100,stress_clear_sky,hybrid_pso,16,15,30,1.01075187737292,422.903296153548,412.307050005032,10.5962461485158,-0.371733743855567,542.104605644143,0,1,0
stress,100,stress_clear_sky,hybrid_pso,16,15,31,1.01425027945056,422.903296153548,363.140521500022,59.7627746535261,-58.3519273103553,576.197421539819,1,1,1
stress,100,stress_clear_sky,hybrid_pso,16,15,32,1.01491474487036,465.193625768903,389.157795358481,76.0358304104224,-89.0445305392767,640.190880686772,1,1,1
stress,100,stress_clear_sky,hybrid_pso,16,15,33,1.01529128897161,507.483955384258,418.164162282886,89.3197931013724,-112.738124230043,702.22362775846,1,1,1
stress,100,stress_clear_sky,hybrid_pso,17,16,33,1.0103243311965,346.621756355924,342.920248667069,3.7015076888552,0,741.879365567014,0,1,0
stress,120,stress_clear_sky,voltwatt,10,9,31,1.03523871127367,507.483955384258,459.50609308594,47.9778622983176,0,675.894548296474,0,1,0
stress,120,stress_clear_sky,voltwatt,10,9,32,1.03671260211181,558.232350922684,490.905067123747,67.3272837989366,0,753.171398801249,0,1,0
stress,120,stress_clear_sky,voltwatt,10,9,33,1.03765831099045,608.980746461109,525.34572701174,83.635019449369,0,828.192033715916,0,1,0
