PVPenetrationPercent,ControlStrategy,Time_h,LoadMultiplier,Irradiance,MinVoltage,MaxVoltage,MeanAbsVoltageDeviation,ActiveLoss_kW,VoltageViolationCount,PVCurtailment_kW,ReactivePower_kVAr
120,voltwatt,4,0.529942086375913,0,0.951091234300045,1,0.027885503208516,55.0491549820024,0,0,0
120,voltwatt,5,0.52976885719901,0,0.951107927126702,1,0.0278760172261601,55.0117703053834,0,0,0
120,voltwatt,6,0.529224034259796,0,0.951160424442476,1,0.0278461845891152,54.8942810472785,0,0,0
120,voltwatt,7,0.527808874421146,0.226097548585906,0.97241850468043,1,0.0142437503649725,26.1797124783741,0,0,0
120,voltwatt,8,0.524795793307557,0.466516495768404,0.991378100325734,1.01865517045681,0.00566420475327851,49.5658295983461,0,0,0
120,voltwatt,9,0.519603088401661,0.683020128377198,0.997288549139207,1.03765831099045,0.00906668543502941,91.4788332653363,0,199.268158406522,0
120,voltwatt,10,0.512529042302071,1,0.997698980055346,1.04969150184962,0.0169493941671573,133.767199120564,0,944.331094339667,0
120,voltwatt,11,0.505305990015821,1,0.997752795896499,1.04986589023504,0.0171706778003003,133.335285460134,0,954.929460653844,0
120,voltwatt,12,0.50064182377663,1,0.997787539173154,1.04997846265735,0.017313418760153,133.062945857931,0,961.773385781069,0
120,voltwatt,13,0.50064182377663,1,0.997787539173154,1.04997846265735,0.017313418760153,133.062945857931,0,961.773385781069,0
120,voltwatt,14,0.505305990015821,1,0.997752795896499,1.04986589023504,0.0171706778003003,133.335285460134,0,954.929460653844,0
120,voltwatt,15,0.512529042302071,0.683020128377198,0.997342790313521,1.03790777078043,0.00931682822531314,91.1222517090382,0,206.926819655845,0
120,voltwatt,16,0.519603088401661,0.466516495768404,0.991815718780841,1.01904723299562,0.0055667772342565,49.5258497022046,0,0,0
120,voltwatt,17,0.524795793307557,0.226097548585906,0.972689782440819,1,0.0140854258880077,25.8614096962941,0,0,0
120,voltwatt,18,0.527808874421146,3.13914904970333e-18,0.951296761268219,1,0.0277687074631845,54.5897391499199,0,0,0
120,voltwatt,19,0.529224034259796,0,0.951160424442476,1,0.0278461845891152,54.8942810472785,0,0,0
120,voltwatt,20,0.52976885719901,0,0.951107927126702,1,0.0278760172261601,55.0117703053834,0,0,0
120,voltwatt,21,0.529942086375913,0,0.951091234300045,1,0.027885503208516,55.0491549820024,0,0,0
120,voltwatt,22,0.529987794834851,0,0.951086829626831,1,0.0278880062351836,55.0590216312241,0,0,0
120,voltwatt,23,0.529997836439101,0,0.951085861967872,1,0.0278885561228019,55.0611893443371,0,0,0
120,hybrid,0,0.529999959541694,0,0.966907810951741,1,0.0198755623154916,39.1820639950894,0,0,704.015816604875
120,hybrid,1,0.52999967740537,0,0.966907823273496,1,0.0198755550025008,39.1820211597111,0,0,704.015093719525
120,hybrid,2,0.529997836439101,0,0.966907903674105,1,0.0198755072845485,39.1817416555956,0,0,704.010376824568
120,hybrid,3,0.529987794834851,0,0.966908342221256,1,0.0198752470057704,39.1802171163187,0,0,703.984648398551
120,hybrid,4,0.529942086375913,0,0.966910338440765,1,0.0198740622446965,39.1732780680034,0,0,703.86753529449
120,hybrid,5,0.52976885719901,0,0.966917903754772,1,0.0198695722119915,39.1469876214002,0,0,703.423696534268
120,hybrid,6,0.529224034259796,0,0.966941696375538,1,0.0198554512254125,39.0643804974849,0,0,702.027829460647
120,hybrid,7,0.527808874421146,0.226097548585906,0.975101398249499,1,0.0132898166580954,24.1606636130921,0,0,55.6148759059607
120,hybrid,8,0.524795793307557,0.466516495768404,0.991378100325734,1.01865517045681,0.00566420475327851,49.5658295983461,0,0,0
120,hybrid,9,0.519603088401661,0.683020128377198,0.997215097729972,1.02934082956243,0.00663797878968859,143.894261159661,0,0.895319623635433,-498.930825745747
120,hybrid,10,0.512529042302071,1,0.99761554837642,1.03912429127284,0.0135671665561831,278.279897122142,0,408.610098546769,-948.942163133331
120,hybrid,11,0.505305990015821,1,0.997668189776741,1.03920638104169,0.0137309495698787,279.016685391957,0,414.304710631722,-959.45535215888
120,hybrid,12,0.50064182377663,1,0.99770217689362,1.03925932689293,0.0138366488869703,279.497391028594,0,417.978030738842,-966.249030692949
120,hybrid,13,0.50064182377663,1,0.99770217689362,1.03925932689293,0.0138366488869703,279.497391028594,0,417.978030738842,-966.249030692949
120,hybrid,14,0.505305990015821,1,0.997668189776741,1.03920638104169,0.0137309495698787,279.016685391957,0,414.304710631722,-959.45535215888
120,hybrid,15,0.512529042302071,0.683020128377198,0.997268901273138,1.02950381025366,0.00685203168209148,145.079816314336,0,0.944936920903913,-511.222124204253
120,hybrid,16,0.519603088401661,0.466516495768404,0.991815718780841,1.01904723299562,0.0055667772342565,49.5258497022046,0,0,0
120,hybrid,17,0.524795793307557,0.226097548585906,0.975265419459942,1,0.0131687497737505,23.9249199964296,0,0,53.4503803479197
120,hybrid,18,0.527808874421146,3.13914904970333e-18,0.967003489547713,1,0.0198187767570646,38.8503706905121,0,0,698.402463454381
120,hybrid,19,0.529224034259796,0,0.966941696375538,1,0.0198554512254125,39.0643804974849,0,0,702.027829460647
120,hybrid,20,0.52976885719901,0,0.966917903754772,1,0.0198695722119915,39.1469876214002,0,0,703.423696534268
120,hybrid,21,0.529942086375913,0,0.966910338440765,1,0.0198740622446965,39.1732780680034,0,0,703.86753529449
120,hybrid,22,0.529987794834851,0,0.966908342221256,1,0.0198752470057704,39.1802171163187,0,0,703.984648398551
120,hybrid,23,0.529997836439101,0,0.966907903674105,1,0.0198755072845485,39.1817416555956,0,0,704.010376824568
120,hybrid_pso,0,0.529999959541694,0,0.978655164427312,1,0.0118260249907217,55.7874812611481,0,0,1689.30345855056
120,hybrid_pso,1,0.52999967740537,0,0.978655176195647,1,0.0118260184823884,55.7874197081736,0,0,1689.30253525937
120,hybrid_pso,2,0.529997836439101,0,0.97865525298514,1,0.011825976014902,55.7870180700725,0,0,1689.29651069748
120,hybrid_pso,3,0.529987794834851,0,0.978655671835322,1,0.0118257443749418,55.7848273506388,0,0,1689.26364956949
120,hybrid_pso,4,0.529942086375913,0,0.978657578395343,1,0.0118246899750686,55.7748559805361,0,0,1689.11406917879
120,hybrid_pso,5,0.52976885719901,0,0.978664803901144,1,0.0118206939935871,55.7370744517024,0,0,1688.54718531818
120,hybrid_pso,6,0.529224034259796,0,0.978687527685323,1,0.0118081268372937,55.6183373275388,0,0,1686.76434712249
120,hybrid_pso,7,0.527808874421146,0.226097548585906,0.984732162247585,1,0.00758167419503567,12.0955474424394,0,0,674.98929857058
120,hybrid_pso,8,0.524795793307557,0.466516495768404,0.99215506029376,1.01334332962917,0.00472423899914637,43.0253598028405,0,105.753108517398,68.7321176953151
120,hybrid_pso,9,0.519603088401661,0.683020128377198,0.997034698837671,1.01638322054293,0.00366735205701832,105.981453838277,0,379.6829334738,-471.876847329827
120,hybrid_pso,10,0.512529042302071,1,0.997278596070407,1.01686646254389,0.00509954346579513,216.957743808186,0,1021.14425672978,-1058.66698874245
120,hybrid_pso,11,0.505305990015821,1,0.997324410513839,1.01650839455569,0.005057738958502,218.744780595108,0,1030.66283307844,-1082.14566520349
120,hybrid_pso,12,0.50064182377663,1,0.997354158146066,1.01629904686737,0.00503502083771929,219.910012254775,0,1036.59723164154,-1097.12842613777
120,hybrid_pso,13,0.50064182377663,1,0.997354158146066,1.01629904686737,0.00503502083771929,219.910012254775,0,1036.59723164154,-1097.12842613777
120,hybrid_pso,14,0.505305990015821,1,0.997324410513839,1.01650839455569,0.005057738958502,218.744780595108,0,1030.66283307844,-1082.14566520349
120,hybrid_pso,15,0.512529042302071,0.683020128377198,0.997085915289588,1.01643083881247,0.00364094507251141,106.500209177924,0,384.528468300028,-485.37079608076
120,hybrid_pso,16,0.519603088401661,0.466516495768404,0.992355953653718,1.01340214990981,0.00465363374499861,43.2203674281575,0,108.387073761324,57.0243210781017
120,hybrid_pso,17,0.524795793307557,0.226097548585906,0.984853489404463,1,0.00751491368387608,12.0078561952963,0,0,665.649068506767
